content_hash,rtsp-0_pts_ms,rtsp-0_arrival_us,rtsp-0_bytes,webrtc-0_pts_ms,webrtc-0_arrival_us,webrtc-0_bytes,webrtc-1_pts_ms,webrtc-1_arrival_us,webrtc-1_bytes
0c1cf9e290b35b56,32703,17803669,135994,32663,17814209,135994,32648,17814718,135994
0c30101f28d56af1,50472,35540130,130354,50468,35549793,130354,50447,35550171,130354
0c3d327ca946ac83,78361,63421215,137141,78309,63434194,137141,78293,63432089,137141
0c4192fef1987723,115639,100724743,141278,115605,100735410,141278,115590,100735964,141278
0c44260f6aa0fc9c,117537,102622001,139823,117505,102633232,139823,117490,102633487,139823
0c5ee26f97f69fab,111985,97080312,130750,111948,97090324,130750,111933,97090535,130750
0c69577de7f1ab06,39408,24483680,138363,39374,24494124,138363,39362,24494529,138363
0c7e66ae171ac85c,81630,66765331,333257,81631,66793299,333297,81616,66794715,333297
0c910e074bb3017b,32213,17226600,129351,32228,17236705,129351,32213,17242069,129351
0c91b0f85e108033,76744,61826220,147329,76711,61838229,147329,76696,61838535,147329
0c93ef7b54d8ce30,52892,37984509,139888,52848,37994889,139888,52829,37995311,139888
0ca7e73730a212cf,63252,48324203,138511,63219,48334298,138511,63204,48334786,138511
0cbc1d03acc6e216,53914,39001002,139144,53879,39012205,139144,53869,39012333,139144
0cef3e9e286780ef,70155,55241077,138684,70123,55255772,138684,70108,55251147,138684
0cf860b50daf779f,93543,78645165,139139,93507,78655953,139139,93492,78656320,139139
0d17d677fb4a8c87,62395,47483815,155339,62360,47495532,155339,62348,47496279,155339
0d182b0a35234f9c,93574,78681762,139104,93538,78692268,139104,93523,78692434,139104
0d259d052012ebfb,23028,8120311,137391,22980,8133581,137391,22964,8130605,137391
0d4835145a3a7aa2,68393,53480885,137785,68360,53491629,137785,68341,53491953,137785
0d501fa283fcd14b,79677,64807586,339652,,,,,,
0d5753a8c4c8a0c1,33015,18100497,138444,32990,18111508,138444,32967,18111837,138444
0d82e742e16021eb,85042,70141199,137726,84994,70151516,137726,84979,70151808,137726
0d8ceb1dbda78113,113354,98440924,131836,113315,98450567,131836,113286,98450873,131836
0d8dececba5b67eb,35282,20380754,139086,35241,20390950,139086,35233,20391346,139086
0d9cfc61ff602638,80945,66041323,137840,80907,66052120,137840,80892,66052369,137840
0da830856e28b260,86127,71220889,136050,86087,71232092,136050,86078,71232049,136050
0db8a91b76a65af4,61294,46364092,137882,61274,46374633,137882,61252,46375012,137882
0dc95781b88c50a1,33393,18484009,138264,33351,18494403,138264,33329,18496798,138264
0dcd2872178b88d2,31155,16240493,137789,31122,16250706,137789,31107,16251088,137789
0dee0aaeb7b06b83,104108,89221504,138323,104073,89232602,138323,104058,89232758,138323
0e03e73c8560b451,35848,20912230,116239,35881,21038775,116328,35854,20947756,116239
0e0a9d690324ad50,105912,91005500,139550,105868,91016186,139550,105852,91016533,139550
0e16289a4d32201e,92230,77280190,131708,92237,77290098,131708,92222,77290480,131708
0e19e68dc1a2615e,54762,39842292,131510,54713,39852622,131510,54698,39852766,131510
0e3c987f1e2f4abe,93421,78521584,139385,93381,78534507,139385,93366,78532775,139385
0e478cb7c2348834,25449,10540630,139827,25414,10551863,139827,25399,10551610,139827
0e6b840e7d6745bf,86097,71182194,139020,86060,71193150,139020,86052,71193594,139020
0e89d6c913c7adf5,116554,101641959,139251,116520,101654634,139251,116504,101651997,139251
0e8cdead8c858be6,114008,99101775,138739,113971,99113085,138739,113946,99112235,138739
0e9fb810737b6610,119368,104481959,139701,119334,104493182,139701,119319,104493552,139701
0eba2234753a9acb,97737,82828557,159020,97706,82841807,159020,97687,82840818,159020
0ec883d48f4cbbd4,46781,31859428,130271,46767,31869125,130271,46750,31869447,130271
0ed0104d4945ac1f,101749,86841800,140386,101713,86853031,140386,101701,86853235,140386
0ed1990c168fe52d,104390,89481606,138716,104362,89495353,138716,104347,89491485,138716
0ee4b18e5382deb2,67571,52622100,131440,67565,52631877,131440,67552,52634017,131440
0f4d053994cb7093,88490,73540548,131734,88467,73550556,131734,88453,73550897,131734
0f676970d2a5dad8,83396,68481161,137575,83363,68491962,137575,83348,68491790,137575
0f73626e784b41cd,60200,45301201,139496,60185,45312081,139496,60143,45312334,139496
0f87db0c90725a1a,80324,65421413,137339,80282,65431464,137339,80260,65435881,137339
0f9d65f0bdfada93,119038,104121869,138594,119022,104133551,138594,119006,104132942,138594
0fb34b82726425d0,50990,36101243,140883,50958,36111981,140883,50939,36112244,140883
0fec325f386aed5f,36225,21299296,130829,36218,21309522,130829,36195,21309873,130829
1025a17e4da9e5d2,55665,40761056,138840,55612,40771116,138840,55597,40771460,138840
102699d57c1fd3d0,41982,27039421,129333,41991,27049508,129333,41972,27049721,129333
105b919caf48c2bf,96618,81721552,139018,96573,81737547,139018,96560,81734580,139018
109b661abe5c2474,80295,65381098,137444,80260,65391670,137444,80238,65391689,137444
109d76c3cfd3be36,43862,28960627,137486,43824,28975845,137486,43804,28970925,137486
10ad8c674e6093af,87780,72844188,132734,87802,72854379,132734,87766,72854662,132734
10bcafeb7eb50d14,97021,82105065,138788,96988,82117932,138788,96971,82115308,138788
10e82b85c1711d28,29447,14554178,98927,29492,14597971,98927,29451,14575966,98927
1114e1499bdf9116,22339,7440259,137903,22295,7455619,137903,22277,7450709,137903
11233da4d26551c7,103034,88104955,133128,103032,88117328,133128,103008,88114667,133128
112cdcf3160aa330,84269,69361146,137874,84215,69372056,137874,84197,69371926,137874
113da86b385b5e1e,80116,65184798,139312,80123,65194997,139312,80095,65195465,139312
114d117c3a946760,62947,47999442,129140,62955,48008649,129140,62941,48011300,129140
114fc3522f05f5d0,37677,22816918,400192,37687,22849387,400232,37682,22865867,400232
1164b1b0148b89bd,97960,83027651,132022,97965,83037772,132022,97951,83038010,132022
116daf77c75462e6,71503,56579923,131325,71490,56590088,131325,71493,56595179,131325
116e93d41cfef8f1,44983,30061934,131173,44929,30074583,131173,44919,30074837,131173
